protocol,chain,pool_name,apy,apy_base,apy_reward,tvl_usd,usdc_liquidity,risk_score,category,min_deposit,oracle_confidence,last_updated,risk_adjusted_apy,tvl_millions,liquidity_millions,risk_category
aerodrome-slipstream,base,USDC-CBBTC,37.03593,32.25998,4.77595,15439747.0,7719873.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.803560,18.517965,15.439747,7.7198735,High
uniswap-v3,ethereum,USDC-WETH,36.83663,36.83663,0.0,5570037.0,2785018.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804091,18.418315,5.570037,2.7850185,High
uniswap-v3,arbitrum,ARB-USDC.E,36.29225,36.29225,0.0,2134728.0,1067364.0,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804741,18.146125,2.134728,1.067364,High
fluid-dex,ethereum,USDC-ETH,35.98795,35.98795,0.0,14200290.0,7100145.0,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.803576,17.993975,14.20029,7.100145,High
flex-perpetuals,base,ETH-BTC-USDC,35.75392,22.01702,13.7369,1465733.0,732866.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.805034,17.87696,1.465733,0.7328665,High
uniswap-v3,ethereum,WBTC-USDC,28.69126,28.69126,0.0,130952869.0,65476434.5,0.6369125999999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.803087,17.52766763479003,130.952869,65.4764345,High
fluid-dex,arbitrum,USDC-ETH,34.48651,34.48651,0.0,3726252.0,1863126.0,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804345,17.243255,3.726252,1.863126,High
gmx-v2-perps,arbitrum,GMX-USDC,34.09447,34.09447,0.0,1306826.0,653413.0,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.805133,17.047235,1.306826,0.653413,High
uniswap-v3,ethereum,USDC-STG,33.64636,33.64636,0.0,2054691.0,1027345.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804767,16.82318,2.054691,1.0273455,High
merkl,arbitrum,USDC-LVUSDC,33.55466,0.0,33.55466,7366693.0,3683346.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.803922,16.77733,7.366693,3.6833465,High
aerodrome-slipstream,base,EURC-USDC,31.63704,27.9286,3.70844,4125194.0,2062597.0,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804284,15.81852,4.125194,2.062597,High
beefy,arbitrum,WBTC-USDC,30.61601,0.0,0.0,1661070.0,830535.0,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804933,15.308005,1.66107,0.830535,High
gmx-v2-perps,arbitrum,SOL-USDC,30.43686,30.43686,0.0,10575966.0,5287983.0,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.803707,15.21843,10.575966,5.287983,High
pendle,ethereum,AIDAUSDC,30.32447,30.32447,0.0,9255682.0,3054375.06,1.0,other,1.0,0.9,2025-09-27 11:56:28.803783,15.162235,9.255682,3.05437506,High
uniswap-v3,ethereum,USDE-USDC,29.73601,29.73601,0.0,3898119.0,1949059.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804328,14.868005,3.898119,1.9490595,High
bmx-classic-perps,base,ETH-BTC-YFI-AERO-MOG-USDC-USDBC,29.38064,29.38064,0.0,1575121.0,787560.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804978,14.69032,1.575121,0.7875605,High
pendle,ethereum,AIDAUSDC,29.2856,28.74929,0.53631,9255682.0,3054375.06,1.0,other,1.0,0.9,2025-09-27 11:56:28.803780,14.6428,9.255682,3.05437506,High
uniswap-v3,ethereum,WBTC-USDC,28.58398,28.58398,0.0,2750210.0,1375105.0,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804552,14.29199,2.75021,1.375105,High
extra-finance-leverage-farming,base,USDC-AERO,26.21631,26.21631,0.0,36130864.0,18065432.0,0.8676396439999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.803329,14.0371350994946,36.130864,18.065432,High
uniswap-v3,arbitrum,WETH-USDC.E,27.48147,27.48147,0.0,2070121.0,1035060.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804761,13.740735,2.070121,1.0350605,High
aerodrome-v1,base,USDC-AERO,23.39396,0.0,23.39396,69798003.0,34899001.5,0.720807988,lp_pool,1.0,0.9,2025-09-27 11:56:28.803170,13.594753257270444,69.798003,34.8990015,High
curve-dex,arbitrum,USDAI-USDC,26.41,26.41,0.0,2885716.0,1442858.0,1.0,stable_lp,1.0,0.9,2025-09-27 11:56:28.804515,13.205,2.885716,1.442858,High
beefy,ethereum,USDF-USDC,24.32232,0.0,0.0,5230213.0,2615106.5,0.9790791480000001,lp_pool,1.0,0.9,2025-09-27 11:56:28.804126,12.289715661235395,5.230213,2.6151065,High
convex-finance,ethereum,USDC-USDF,23.51055,9.45,14.06055,18317179.0,9158589.5,0.9267312839999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.803500,12.202298366791869,18.317179,9.1585895,High
uniswap-v2,base,WETH-USDC,23.58522,23.58522,0.0,9059063.0,4529531.5,0.963763748,lp_pool,1.0,0.9,2025-09-27 11:56:28.803793,12.010212544161906,9.059063,4.5295315,High
wildcat-protocol,ethereum,LILENGHYUSDC,23.8,23.8,0.0,1848999.0,610169.67,0.9926040039999999,other,1.0,0.9,2025-09-27 11:56:28.804854,11.94416951497805,1.848999,0.61016967,High
beefy,base,USDC-AERO,23.59249,0.0,0.0,1268513.0,634256.5,0.994925948,lp_pool,1.0,0.9,2025-09-27 11:56:28.805153,11.826248499926775,1.268513,0.6342565,High
uniswap-v3,base,USDC-CBBTC,21.61469,21.61469,0.0,8192074.0,4096037.0,0.967231704,lp_pool,1.0,0.9,2025-09-27 11:56:28.803851,10.987363591208165,8.192074,4.096037,High
gmx-v2-perps,arbitrum,ETH-USDC,21.13857,21.13857,0.0,3942261.0,1971130.5,0.984230956,lp_pool,1.0,0.9,2025-09-27 11:56:28.804322,10.653281028642516,3.942261,1.9711305,High
stream-finance,ethereum,USDC,16.33,16.33,0.0,158721181.0,150785121.95,0.6,other,1.0,0.9,2025-09-27 11:56:28.803064,10.206249999999999,158.721181,150.78512195,High
harvest-finance,arbitrum,USDC,20.21,20.21,0.0,1808095.0,1717690.25,0.99276762,other,1.0,0.9,2025-09-27 11:56:28.804869,10.14167422090088,1.808095,1.71769025,High
